[2025-03-18 04:29:19,704] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:36,130] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:36,512] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:38:36,835] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:47,166] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:38:47,594] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:38:48,697] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:28,460] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:31,873] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:34,595] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:35,033] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:36,840] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:48:37,169] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:39,714] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:40,121] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:40,516] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:48:40,827] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:44,487] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:44,894] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:45,278] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:48:45,567] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:54,765] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:48:55,278] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:49:09,372] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:49:14,561] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:49:14,979] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:49:15,359] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 34 embedding in ChromaDB
[2025-03-18 04:49:15,667] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:49:20,881] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:49:21,354] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:49:28,222] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 04:52:09,247] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:10,925] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:12,495] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:12,771] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:14,913] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:52:15,085] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:16,553] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:16,814] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:17,106] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 04:52:17,202] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:21,952] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:22,210] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:22,525] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 35 embedding in ChromaDB
[2025-03-18 04:52:22,646] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:29,354] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:52:29,987] INFO [Backend.ai_services.rag.todo_vector_store:417] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:55:07,727] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:27,196] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:28,047] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:29,309] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:29,593] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:31,743] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 34 embedding in ChromaDB
[2025-03-18 04:55:31,847] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:33,377] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:33,633] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:33,933] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 34 embedding in ChromaDB
[2025-03-18 04:55:33,947] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:42,582] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:42,838] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:43,125] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 36 embedding in ChromaDB
[2025-03-18 04:55:43,137] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:52,233] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:52,489] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:55:52,781] INFO [Backend.ai_services.rag.todo_vector_store:224] Successfully updated Todo 37 embedding in ChromaDB
[2025-03-18 04:55:52,805] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:56:31,480] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:56:32,031] INFO [Backend.ai_services.rag.todo_vector_store:417] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:56:41,073] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:56:51,765] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 04:56:52,052] INFO [Backend.ai_services.rag.todo_vector_store:417] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 04:56:55,431] INFO [Backend.ai_services.rag.todo_vector_store:43] Using collection: compass_collection
[2025-03-18 05:41:56,601] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:47:37,887] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:47:42,184] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:47:42,633] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:47:44,343] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 33 embedding in ChromaDB
[2025-03-18 05:47:44,538] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:06,213] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:10,561] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:11,031] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:11,484] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 38 embedding in ChromaDB
[2025-03-18 05:48:11,637] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:18,290] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:48:18,686] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 05:49:10,917] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:49:22,059] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:49:25,029] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:49:25,504] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:49:27,593] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 34 embedding in ChromaDB
[2025-03-18 05:49:27,902] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:50:33,569] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:50:33,953] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 05:51:51,422] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:53:39,520] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:53:44,789] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:53:53,192] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:53:53,462] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:53:55,003] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 39 embedding in ChromaDB
[2025-03-18 05:53:55,137] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:01,467] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:01,755] INFO [Backend.ai_services.rag.todo_vector_store:416] Using where filter: {'$and': [{'user_id': {'$eq': 1}}, {'document_type': {'$eq': 'todo'}}]}
[2025-03-18 05:54:06,590] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:12,593] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:12,864] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:13,119] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 24 embedding from ChromaDB
[2025-03-18 05:54:13,156] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:14,659] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:14,935] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:15,201] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 25 embedding from ChromaDB
[2025-03-18 05:54:15,239] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:16,651] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:16,976] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:17,238] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 26 embedding from ChromaDB
[2025-03-18 05:54:17,276] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:21,055] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:21,330] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:21,591] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 32 embedding from ChromaDB
[2025-03-18 05:54:21,627] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:23,699] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:23,967] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:24,233] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 35 embedding from ChromaDB
[2025-03-18 05:54:24,269] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:25,519] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:25,803] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:26,071] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 36 embedding from ChromaDB
[2025-03-18 05:54:26,109] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:27,450] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:27,719] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:27,989] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 38 embedding from ChromaDB
[2025-03-18 05:54:28,025] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:32,952] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:33,213] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:33,482] INFO [Backend.ai_services.rag.todo_vector_store:247] Successfully deleted Todo 39 embedding from ChromaDB
[2025-03-18 05:54:33,520] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:44,271] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:44,528] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:54:44,823] INFO [Backend.ai_services.rag.todo_vector_store:223] Successfully updated Todo 40 embedding in ChromaDB
[2025-03-18 05:54:44,926] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:55:49,011] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:07,302] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:10,006] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:10,280] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:11,437] ERROR [Backend.ai_services.rag.todo_vector_store:226] Error updating Todo embedding: (unauthorized) Invalid Github auth token
Code: unauthorized
Message: Invalid Github auth token
[2025-03-18 05:59:11,438] INFO [Backend.ai_services.rag.todo_vector_store:148] Adding todo 11 to ChromaDB with metadata: {'todo_id': 11, 'user_id': 1, 'title': 'Find a nice color schema', 'status': 'TodoStatus.COMPLETED', 'priority': 'TodoPriority.HIGH', 'due_date': '2025-03-14T15:16:35.910000', 'tags_json': '[]', 'is_recurring': False, 'ai_generated': False, 'created_at': '2025-03-15T03:16:41.270978', 'updated_at': '2025-03-18T03:59:10.273543', 'document_type': 'todo'}
[2025-03-18 05:59:11,579] ERROR [Backend.ai_services.rag.todo_vector_store:184] Error adding Todo embedding: (unauthorized) Invalid Github auth token
Code: unauthorized
Message: Invalid Github auth token
[2025-03-18 05:59:11,740] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:24,837] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:25,109] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 05:59:25,516] ERROR [Backend.ai_services.rag.todo_vector_store:226] Error updating Todo embedding: (unauthorized) Invalid Github auth token
Code: unauthorized
Message: Invalid Github auth token
[2025-03-18 05:59:25,517] INFO [Backend.ai_services.rag.todo_vector_store:148] Adding todo 41 to ChromaDB with metadata: {'todo_id': 41, 'user_id': 1, 'title': 'gdzg2', 'status': 'TodoStatus.PENDING', 'priority': 'TodoPriority.MEDIUM', 'due_date': '2025-03-18T03:59:21.931000', 'tags_json': '[]', 'is_recurring': False, 'ai_generated': False, 'created_at': '2025-03-18T03:59:25.104731', 'updated_at': '2025-03-18T03:59:25.104731', 'document_type': 'todo'}
[2025-03-18 05:59:25,659] ERROR [Backend.ai_services.rag.todo_vector_store:184] Error adding Todo embedding: (unauthorized) Invalid Github auth token
Code: unauthorized
Message: Invalid Github auth token
[2025-03-18 05:59:25,820] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:01:56,063] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:14,617] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:17,549] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:23,161] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:23,454] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:24,427] ERROR [Backend.ai_services.rag.todo_vector_store:226] Error updating Todo embedding: Error code: 401 - {'error': {'code': 'unauthorized', 'message': 'Bad credentials', 'details': 'Bad credentials'}}
[2025-03-18 06:06:24,428] INFO [Backend.ai_services.rag.todo_vector_store:148] Adding todo 37 to ChromaDB with metadata: {'todo_id': 37, 'user_id': 1, 'title': 'test24', 'status': 'TodoStatus.COMPLETED', 'priority': 'TodoPriority.MEDIUM', 'due_date': '2025-03-27T02:55:46', 'tags_json': '[]', 'is_recurring': False, 'ai_generated': False, 'created_at': '2025-03-18T02:55:52.485695', 'updated_at': '2025-03-18T04:06:23.447000', 'document_type': 'todo'}
[2025-03-18 06:06:24,572] ERROR [Backend.ai_services.rag.todo_vector_store:184] Error adding Todo embedding: Error code: 401 - {'error': {'code': 'unauthorized', 'message': 'Bad credentials', 'details': 'Bad credentials'}}
[2025-03-18 06:06:24,729] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:42,133] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:42,383] INFO [Backend.ai_services.rag.todo_vector_store:42] Using collection: compass_collection
[2025-03-18 06:06:43,230] ERROR [Backend.ai_services.rag.todo_vector_store:226] Error updating Todo embedding: Error code: 401 - {'error': {'code': 'unauthorized', 'message': 'Bad credentials', 'details': 'Bad credentials'}}
